,nkxpasexo1
0,0.525690166552589
1-4,2.04510761274622
5-9,2.44108071110124
10-14,2.33842440321516
15-19,2.56885995592361
20-24,2.46977572389691
25-29,2.47529370950653
30-34,2.52422616807291
35-39,2.55214361271856
40-44,2.45995760059871
45-49,2.39677627710135
50-54,2.34070824196211
55-59,2.37716983902689
60-64,2.2667179673499
65-69,2.27252284082501
70-74,2.26036150064619
75-79,2.33382324957896
80-84,2.20557696287127
85-89,2.37256108761031
90+,4.72381005235215
