,nkxpasexo2
0,0.497887521604893
1-4,1.99356923419767
5-9,2.4572608757939
10-14,2.34871902438306
15-19,2.40308459507638
20-24,2.47803738628284
25-29,2.49011331660202
30-34,2.21077861221598
35-39,2.26519373849969
40-44,2.37879101236465
45-49,2.22687501142464
50-54,2.39257046854583
55-59,2.24801113093435
60-64,2.25930428356072
65-69,2.26685274421388
70-74,2.29072834272631
75-79,2.26663857420678
80-84,2.36963391334175
85-89,2.37719196768565
90+,4.52081092532838
