,nkxpesexo1
0,0.513900994194378
1-4,1.8913885566863
5-9,2.35357387308106
10-14,2.570371321013
15-19,2.48665200239464
20-24,2.45355431700401
25-29,2.51123682686419
30-34,2.3991918536931
35-39,2.37874039784692
40-44,2.43051422040079
45-49,2.40756386003285
50-54,2.36646816632382
55-59,2.40687255986916
60-64,2.40583178016527
65-69,2.4693352209199
70-74,2.43719699089333
75-79,2.44463998619893
80-84,2.40779411790987
85-89,2.4867470183215
90+,4.96809611892681
