,nkxpesexo2
0,0.505932870998153
1-4,1.92646595310964
5-9,2.49120502233704
10-14,2.1006700529558
15-19,2.48406003539474
20-24,2.33576154623383
25-29,2.41422487315711
30-34,2.43124261091407
35-39,2.40430302668836
40-44,2.52466548215609
45-49,2.41414592619964
50-54,2.41259744017
55-59,2.34225126661814
60-64,2.40337891149764
65-69,2.37656488043982
70-74,2.40458941725337
75-79,2.41728688731355
80-84,2.44608979929192
85-89,2.46850242021091
90+,4.97742139509093
